Pakbon;Filiaal;Datum;Artikel nr;Artikel id;Leverancier;Hoofdgroep;Kleur id;Kleur;Kleur leverancier;Maat;Barcode;Barcode leverancier;Aantal;Material;GN -code;Weight article;Origin;Netto;Kostprijs;Valuta;Kostprijs Valuta
824197;26;10-06-2025;00037789;PG51031;Garcia;T-shirts.s(incl singlets);EKA00000200022602;8918-light teal;8918-light teal;L;2900077006036;8717519213921;1;COT 70%,PL 30%;61091000;173;BD;150;5,82;CHF;5,47
824197;26;10-06-2025;00037790;PG50036;Garcia;Shirt short sleeves;EKA00000200016753;60-black;60-black;S;2900077008023;8717519214836;1;VIS 100%;62064000;115;CN;100;11,19;CHF;10,52
824197;26;10-06-2025;00037790;PG50036;Garcia;Shirt short sleeves;EKA00000200016753;60-black;60-black;M;2900077008030;8717519214843;1;VIS 100%;62064000;115;CN;100;11,19;CHF;10,52
824197;26;10-06-2025;00037862;Z0052/C;Van Zon mode;Accessory;318;318-natural;318;XS;2900077108013;;1;LEA100%;42033000;80;NL;70;6,61;CHF;6,21
824197;26;10-06-2025;00037863;PG52007;Garcia;Sweaters;EKA00000200019884;53-off white;53-off white;152/158;2900077110030;8717519218261;1;COT 80%,PL 20%;61102099;403;BD;350;8,17;CHF;7,68
824197;26;10-06-2025;00037863;PG52007;Garcia;Sweaters;EKA00000200022472;6893-daisy blush;6893-daisy blush;152/158;2900077111037;8717519218315;1;COT 80%,PL 20%;61102099;403;BD;350;8,17;CHF;7,68
824197;26;10-06-2025;00037867;S43400;Garcia;T-shirts.s(incl singlets);EKA00000200021671;2884-dark grey;2884-dark grey;140/146;2900077118029;8717519216953;1;COT 50%,RCO 50%;61091000;150;IN;130;4,48;CHF;4,21
824197;26;10-06-2025;00037868;S42402;Garcia;T-shirts.s(incl singlets);EKA00000200022472;6893-daisy blush;6893-daisy blush;140/146;2900077121029;8717519216854;1;COT 100%;61091000;150;BD;130;4,48;CHF;4,21
824197;26;10-06-2025;00037868;S42402;Garcia;T-shirts.s(incl singlets);EKA00000200022472;6893-daisy blush;6893-daisy blush;152/158;2900077121036;8717519216861;2;COT 100%;61091000;150;BD;130;4,48;CHF;4,21
824197;26;10-06-2025;00037995;R41205;Garcia;T-shirts.s(incl singlets);EKA00000200017943;1464-milk melee;1464-milk melee;XXXL;2900077302060;8713215877573;1;COT 60%,RPL 40%;61091000;173;CN;150;8,10;CHF;7,61
824197;26;10-06-2025;00038100;A53602;Garcia;T-shirts.s(incl singlets);EKA00000200019884;53-off white;53-off white;152/158;2900077465031;8717519058348;1;COT 50%,RCO 50%;61091000;150;IN;130;5,86;CHF;5,51
824197;26;10-06-2025;00038254;B53401;Garcia;T-shirts.s(incl singlets);EKA00000200022776;7564-evening;7564-evening;152/158;2900077680038;8717519040701;1;COT 70%,RCO 30%;63079098;150;BD;130;4,05;CHF;3,81
824197;26;10-06-2025;00038263;C53604;Garcia;T-shirts.s(incl singlets);EKA00000200022775;8384-charcoal;8384-charcoal;152/158;2900077691027;8717519037206;1;COT 80%,PL 15%,EA 5%;63079098;150;BD;130;6,75;CHF;6,35
